"Date","Tmin","Tmax"
19450101,0.6,5.5
19450102,-4.1,6.7
19450103,1.4,6.1
19450104,0.1,3.9
19450105,2.1,6.1
19450106,-1.4,5.2
19450107,1.5,7.8
19450108,-1.6,4.4
19450109,-1.2,1.7
19450110,-0.3,3.3
19450111,-4,1
19450112,-9.7,-0.3
19450113,-12.6,-2
19450114,-3.8,0.4
19450115,-7.3,1.5
19450116,-1.2,2.6
19450117,-4.7,5
19450118,-3,9
19450119,2.8,5.9
19450120,0,4.7
19450121,-1.4,5.7
19450122,-1.8,2.7
19450123,0.4,7.4
19450124,-0.5,0.8
19450125,-3.8,-1.2
19450126,-12,0.6
19450127,0.4,3.6
19450128,-4.3,3.4
19450129,-5.2,3.2
19450130,-3.7,8
19450131,7.8,11.4
19450201,9,12.3
19450202,8.2,12
19450203,4.8,11.5
19450204,8.3,12.4
19450205,10.4,14.8
19450206,6.8,14
19450207,9.5,14.5
19450208,5.4,12
19450209,4,10.8
19450210,4.5,9.4
19450211,4.3,12.2
19450212,11.2,14
19450213,9.6,12.4
19450214,2.2,10.2
19450215,-1.2,12.6
19450216,0.2,13.4
19450217,8.5,11.6
19450218,8.4,11.8
19450219,10.3,14
19450220,9.3,12.7
19450221,4.1,11.5
19450222,-1,12.2
19450223,-1.4,11.2
19450224,3.4,8.7
19450225,2.3,12.5
19450226,3.5,12.8
19450227,6.7,11.1
19450228,5.4,12
19450301,2.7,12.8
19450302,2.8,8.9
19450303,-1.6,7.7
19450304,-1.7,10
19450305,4.2,9.6
19450306,3.4,12.1
19450307,6.4,11.8
19450308,1.5,13.4
19450309,2.2,11.5
19450310,-1.1,13.2
19450311,-0.7,12.7
19450312,-1,13.4
19450313,-1.2,11.2
19450314,0.2,17.7
19450315,1.9,16.7
19450316,6.4,12
19450317,4.4,12.8
19450318,-0.8,15.2
19450319,4.4,13.9
19450320,9,12
19450321,8,14.8
19450322,1.8,19.5
19450323,6.4,20.8
19450324,8,15.5
19450325,8.7,11
19450326,8.5,11
19450327,1.2,14
19450328,9.2,15.5
19450329,10.8,13.8
19450330,8.2,15.7
19450331,6.7,14.8
19450401,10.4,14.8
19450402,8.8,13.5
19450403,4.2,14.5
19450404,1.5,13
19450405,5.4,17.5
19450406,4.5,16.6
19450407,6.6,15.1
19450408,2.2,14.7
19450409,3.2,18.1
19450410,4.2,20
19450411,8.8,20.7
19450412,11.5,20
19450413,7.5,21
19450414,9.8,20
19450415,7,24
19450416,8,27
19450417,9.7,28.7
19450418,9.8,27.5
19450419,9.2,27
19450420,8.5,26.2
19450421,10.4,16.5
19450422,3.5,16
19450423,4,15.6
19450424,3.1,16.5
19450425,3,19.4
19450426,11.8,17.8
19450427,8.8,13
19450428,3.5,13.2
19450429,2.9,11
19450430,1.1,9.2
19450501,-1.2,10.5
19450502,-1,11.2
19450503,-0.9,12.7
19450504,6.3,14
19450505,9,17
19450506,12,21.4
19450507,8.1,27
19450508,12,27.2
19450509,13,21.3
19450510,11.6,25
19450511,12.8,26.6
19450512,12,28
19450513,12,22.4
19450514,7,21.5
19450515,6.4,23.3
19450516,9.6,29.4
19450517,14,24.8
19450518,10.5,17.2
19450519,11.8,24.8
19450520,12.6,18.2
19450521,8.2,16.8
19450522,7.4,17.2
19450523,5.4,17.8
19450524,5,18.3
19450525,4,19
19450526,9.5,17
19450527,10.5,13.9
19450528,7,18.5
19450529,8,18.2
19450530,4.5,18.5
19450531,8.6,17.4
19450601,9.3,18.1
19450602,9.6,19.5
19450603,8.7,25
19450604,13,21.2
19450605,12.4,23.2
19450606,13.5,22.5
19450607,16,23.2
19450608,11,20.6
19450609,7.9,19.3
19450610,7.5,22.6
19450611,14.4,21.8
19450612,14.5,20.2
19450613,7.6,18.1
19450614,6,20.8
19450615,13.1,20.3
19450616,11,18.4
19450617,11,22.5
19450618,7.8,25
19450619,12.1,30
19450620,16.4,23.8
19450621,14,21.8
19450622,9.8,26.2
19450623,12,28.6
19450624,12.4,21.2
19450625,12.2,26.8
19450626,12.3,23.5
19450627,10.8,20.5
19450628,7.8,16.8
19450629,12,19.8
19450630,10.6,23.5
19450701,12.7,20.9
19450702,10.7,20.3
19450703,10.1,18.4
19450704,12,20.8
19450705,13.2,27.5
19450706,14.5,29.2
19450707,13.8,23.9
19450708,9.5,26.3
19450709,12.6,26.7
19450710,12.6,19.5
19450711,10.8,20.8
