="STAID"=,="STANAME"=,="CN"=,="LAT"=,="LON"=,="HGHT"=,="lon"=,="lat"=
32,="BOURGES                                 "=,="FR"=,="+47:03:33"=,="+002:21:35"=,161,=2.35972222222222=,=47.0591666666667=
33,="TOULOUSE-BLAGNAC                        "=,="FR"=,="+43:37:16"=,="+001:22:44"=,151,=1.37888888888889=,=43.6211111111111=
34,="BORDEAUX-MERIGNAC                       "=,="FR"=,="+44:49:50"=,="-000:41:29"=,47,=-0.691388888888889=,=44.8305555555556=
36,="PERPIGNAN                               "=,="FR"=,="+42:44:14"=,="+002:52:22"=,42,=2.87277777777778=,=42.7372222222222=
37,="LYON - ST EXUPERY                       "=,="FR"=,="+45:43:35"=,="+005:04:40"=,235,=5.07777777777778=,=45.7263888888889=
736,="ABBEVILLE                               "=,="FR"=,="+50:08:10"=,="+001:50:02"=,69,=1.83388888888889=,=50.1361111111111=
737,="LILLE-LESQUIN                           "=,="FR"=,="+50:34:12"=,="+003:05:51"=,47,=3.0975=,=50.57=
738,="CAEN-CARPIQUET                          "=,="FR"=,="+49:10:48"=,="-000:27:22"=,67,=-0.456111111111111=,=49.18=
740,="ALENCON                                 "=,="FR"=,="+48:26:44"=,="+000:06:37"=,143,=0.110277777777778=,=48.4455555555556=
742,="NANTES-BOUGUENAIS                       "=,="FR"=,="+47:09:00"=,="-001:36:32"=,26,=-1.60888888888889=,=47.15=
745,="DIJON-LONGVIC                           "=,="FR"=,="+47:16:04"=,="+005:05:18"=,219,=5.08833333333333=,=47.2677777777778=
749,="POITIERS - BIARD                        "=,="FR"=,="+46:35:38"=,="+000:18:52"=,123,=0.314444444444444=,=46.5938888888889=
750,="CLERMONT-FERRAND                        "=,="FR"=,="+45:47:13"=,="+003:08:58"=,331,=3.14944444444444=,=45.7869444444444=
755,="EMBRUN                                  "=,="FR"=,="+44:33:56"=,="+006:30:08"=,871,=6.50222222222222=,=44.5655555555556=
756,="TARBES - OSSUN                          "=,="FR"=,="+43:11:17"=,="+000:00:00"=,360,0,=43.1880555555556=
757,="NICE                                    "=,="FR"=,="+43:38:56"=,="+007:12:32"=,2,=7.20888888888889=,=43.6488888888889=
758,="BASTIA                                  "=,="FR"=,="+42:32:26"=,="+009:29:07"=,10,=9.48527777777778=,=42.5405555555556=
434,="BREST-GUIPAVAS                          "=,="FR"=,="+48:26:39"=,="-004:24:43"=,94,=-4.41194444444444=,=48.4441666666667=
39,="MARIGNANE                               "=,="FR"=,="+43:26:16"=,="+005:12:58"=,9,=5.21611111111111=,=43.4377777777778=
786,="MONTELIMAR                              "=,="FR"=,="+44:34:52"=,="+004:43:59"=,73,=4.73305555555556=,=44.5811111111111=
322,="RENNES-ST JACQUES                       "=,="FR"=,="+48:04:08"=,="-001:44:02"=,36,=-1.73388888888889=,=48.0688888888889=
793,="PTE DE LA HAGUE                         "=,="FR"=,="+49:43:31"=,="-001:56:23"=,6,=-1.93972222222222=,=49.7252777777778=
323,="STRASBOURG-ENTZHEIM                     "=,="FR"=,="+48:32:58"=,="+007:38:25"=,150,=7.64027777777778=,=48.5494444444444=
2184,="ROUEN - BOOS                            "=,="FR"=,="+49:22:59"=,="+001:10:54"=,151,=1.18166666666667=,=49.3830555555556=
2190,="TOURS                                   "=,="FR"=,="+47:26:40"=,="+000:43:38"=,108,=0.727222222222222=,=47.4444444444444=
2192,="BASEL-MULHOUSE                          "=,="FR"=,="+47:36:52"=,="+007:30:36"=,263,=7.51=,=47.6144444444444=
2195,="LIMOGES - BELLEGARDE                    "=,="FR"=,="+45:51:40"=,="+001:10:30"=,402,=1.175=,=45.8611111111111=
2196,="LE PUY - LOUDES                         "=,="FR"=,="+45:04:28"=,="+003:45:50"=,833,=3.76388888888889=,=45.0744444444444=
2199,="GOURDON                                 "=,="FR"=,="+44:44:42"=,="+001:23:48"=,260,=1.39666666666667=,=44.745=
2200,="MILLAU                                  "=,="FR"=,="+44:07:07"=,="+003:01:07"=,712,=3.01861111111111=,=44.1186111111111=
2203,="MONT-DE-MARSAN                          "=,="FR"=,="+43:54:35"=,="-000:30:01"=,59,=-0.500277777777778=,=43.9097222222222=
2205,="ST-GIRONS                               "=,="FR"=,="+43:00:19"=,="+001:06:25"=,414,=1.10694444444444=,=43.0052777777778=
2207,="MONTPELLIER-AEROPORT                    "=,="FR"=,="+43:34:37"=,="+003:57:47"=,2,=3.96305555555556=,=43.5769444444445=
2209,="AJACCIO                                 "=,="FR"=,="+41:55:05"=,="+008:47:34"=,5,=8.79277777777778=,=41.9180555555556=
11243,="TROYES-BARBEREY                         "=,="FR"=,="+48:19:29"=,="+004:01:12"=,112,=4.02=,=48.3247222222222=
11244,="PTE DE CHASSIRON                        "=,="FR"=,="+46:02:49"=,="-001:24:42"=,11,=-1.41166666666667=,=46.0469444444444=
11245,="PLOUMANAC'H                             "=,="FR"=,="+48:49:33"=,="-003:28:23"=,55,=-3.47305555555556=,=48.8258333333333=
11246,="NANCY-OCHEY                             "=,="FR"=,="+48:34:52"=,="+005:57:35"=,336,=5.95972222222222=,=48.5811111111111=
11247,="BELLE ILE - LE TALUT                    "=,="FR"=,="+47:17:40"=,="-003:13:06"=,34,=-3.21833333333333=,=47.2944444444444=
11249,="ORLY                                    "=,="FR"=,="+48:43:01"=,="+002:23:04"=,89,=2.38444444444444=,=48.7169444444444=
